1963,Aurèle Vandendriessche,Belgium,2:18:58,,men
1964,Aurèle Vandendriessche,Belgium,2:19:59,2nd victory,men
1965,Morio Shigematsu,Japan,2:16:33,,men
1966,Kenji Kimihara,Japan,2:17:11,,men
1967,Dave McKenzie,New Zealand,2:15:45,,men
1968,Amby Burfoot,United States (CT),2:22:17,,men
1969,Yoshiaki Unetani,Japan,2:13:49,,men
1970,Ron Hill,United Kingdom,2:10:30,,men
1971,Álvaro Mejía,Colombia,2:18:45,,men
1972,Olavi Suomalainen,Finland,2:15:39,,men
1973,Jon Anderson,United States (OR),2:16:03,,men
1974,Neil Cusack,Ireland,2:13:39,,men
1975,Bill Rodgers,United States (MA),2:09:55,,men
1976,Jack Fultz,United States (VA),2:20:19,,men
1977,Jerome Drayton,Canada,2:14:46,,men
1978,Bill Rodgers,United States (MA),2:10:13,2nd victory,men
1979,Bill Rodgers,United States (MA),2:09:27,3rd victory,men
1980,Bill Rodgers,United States (MA),2:12:11,4th victory,men
1981,Toshihiko Seko,Japan,2:09:26,,men
1982,Alberto Salazar,United States (MA),2:08:52,,men
1983,Greg Meyer,United States (MI),2:09:00,,men
1984,Geoff Smith,United Kingdom,2:10:34,,men
1985,Geoff Smith,United Kingdom,2:14:05,2nd victory,men
1986,Robert de Castella,Australia,2:07:51,,men
1987,Toshihiko Seko,Japan,2:11:50,2nd victory,men
1988,Ibrahim Hussein,Kenya,2:08:43,,men
1989,Abebe Mekonnen,Ethiopia,2:09:06,,men
1990,Gelindo Bordin,Italy,2:08:19,,men
1991,Ibrahim Hussein,Kenya,2:11:06,2nd victory,men
1992,Ibrahim Hussein,Kenya,2:08:14,3rd victory,men
1993,Cosmas Ndeti,Kenya,2:09:33,,men
1994,Cosmas Ndeti,Kenya,2:07:15,"2nd victory,",men
1995,Cosmas Ndeti,Kenya,2:09:22,3rd victory,men
1996,Moses Tanui,Kenya,2:09:15,,men
1997,Lameck Aguta,Kenya,2:10:34,,men
1998,Moses Tanui,Kenya,2:07:34,2nd victory,men
1999,Joseph Chebet,Kenya,2:09:52,,men
